Case,OCC_DATE,OCC_TIME,CASE_STATUS_DESC,UCR,UCR_EXT_CODE,OFFENSE_DESC,Bias Type,LOC_CODE,Location_Description,DeIdentifiedLocation,X_COORDINATE,Y_COORDINATE
2016686183,10/26/2016 0:00,1145,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-WHITE,12,GROCERY/SUPERMARKET                                                            ,700 BLOCK E 20TH AVE,3146910,1697792
2016716039,11/7/2016 0:00,2200,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-BLACK,18,PARKING LOT/GARAGE                                                             ,12300 BLOCK E ALBROOK DR,3183998,1710284
2016716039,11/7/2016 0:00,2200,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,18,PARKING LOT/GARAGE                                                             ,12300 BLOCK E ALBROOK DR,3183998,1710284
2016716474,11/8/2016 0:00,600,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-BLACK,18,PARKING LOT/GARAGE                                                             ,6800 BLOCK E TENNESSEE AVE,3166175,1679640
2016720419,11/9/2016 0:00,800,INACTIVE,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-WHITE,20,RESIDENCE/HOME                                                                 ,1300 BLOCK N YOSEMITE ST,3172959,1694445
2016725630,11/12/2016 0:00,230,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-BLACK,18,PARKING LOT/GARAGE                                                             ,6800 BLOCK E TENNESSEE AVE,3166175,1679640
2016726666,11/12/2016 0:00,1915,REFUSED BY DA - INSUFFICIENT ID EVID,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-MALE HOMOSEXUAL (GAY),20,RESIDENCE/HOME                                                                 ,1900 BLOCK E 13TH AVE,3150627,1693840
2016733387,11/15/2016 0:00,1923,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-MULTI-RACIAL GROUP,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,4500 BLOCK N TEJON ST,3137478,1709342
2016734313,11/16/2016 0:00,130,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-TRANSGENDER,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1300 BLOCK N HUMBOLDT ST,3149209,1694002
2016748406,11/22/2016 0:00,900,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1316,1316-0,THREATS TO INJURE,ANTI-TRANSGENDER,20,RESIDENCE/HOME                                                                 ,1700 BLOCK CHAMPA ST,3142838,1697655
2016755611,11/26/2016 0:00,1515,INACTIVE - PENDING LAB ANALYSIS RESULTS,1313,1313-0,ASSAULT - SIMPLE,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 23RD AVE / N CLARKSON ST,3147069,1698758
2016759855,11/27/2016 0:00,1630,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,18,PARKING LOT/GARAGE                                                             ,6900 BLOCK E GIRARD AVE,3167302,1663927
2016761897,11/29/2016 0:00,1535,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-HISPANIC,21,RESTAURANT                                                                     ,1300 BLOCK 21ST ST,3142880,1699938
2016761897,11/29/2016 0:00,1535,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5599,5599-0,HEALTH VIOLATIONS,ANTI-HISPANIC,21,RESTAURANT                                                                     ,1300 BLOCK 21ST ST,3142880,1699938
2016761897,11/29/2016 0:00,1535,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5707,5707-0,CRIMINAL TRESPASSING,ANTI-HISPANIC,21,RESTAURANT                                                                     ,1300 BLOCK 21ST ST,3142880,1699938
2016761897,11/29/2016 0:00,1535,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-HISPANIC,21,RESTAURANT                                                                     ,1300 BLOCK 21ST ST,3142880,1699938
2016775327,12/4/2016 0:00,1340,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-CATHOLIC,50,PARK/PLAYGROUND                                                                ,W 17TH AVE / N PERRY ST,3129548,1696193
2016775690,12/5/2016 0:00,1710,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-TRANSGENDER,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,W IOWA AVE / S ACOMA ST,3143883,1675733
201727126,1/11/2017 0:00,1200,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,5309,5309-0,HARASSMENT,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,20,RESIDENCE/HOME                                                                 ,7100 BLOCK E MISSISSIPPI AVE,3167163,1678018
201766353,1/30/2017 0:00,1231,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1109,1109-0,SEX ASLT - NON-RAPE,ANTI-MENTAL DISABILITY,20,RESIDENCE/HOME                                                                 ,2200 BLOCK S JASMINE ST,3163262,1671541
201766746,1/30/2017 0:00,1300,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,21,RESTAURANT                                                                     ,1100 BLOCK 14TH ST,3141038,1697180
201783169,2/6/2017 0:00,1000,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,21,RESTAURANT                                                                     ,1500 BLOCK N GRANT ST,3145128,1694983
2017105234,2/15/2017 0:00,800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 13TH AVE / N ALBION ST,3157632,1693626
2017105234,2/15/2017 0:00,800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 13TH AVE / N ALBION ST,3157632,1693626
2017105275,2/15/2017 0:00,815,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,WEWATTA ST / 16TH ST,3139821,1699633
2017111468,2/17/2017 0:00,1618,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,I25 HWYSB / N SPEER BLVD,3137010,1700390
2017125977,2/23/2017 0:00,1745,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1210,1210-0,ROBBERY - PURSE SNATCH W/FORCE,ANTI-BLACK,1,AIR/BUS/TRAIN TERMINAL                                                         ,S FEDERAL BLVD / W MISSISSIPPI AVE,3133645,1679018
2017195452,3/25/2017 0:00,910,INACTIVE,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-TRANSGENDER,1,AIR/BUS/TRAIN TERMINAL                                                         ,1700 BLOCK WYNKOOP ST,3140598,1699567
2017306535,4/1/2017 0:00,1330,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),20,RESIDENCE/HOME                                                                 ,2300 BLOCK E EVANS AVE,3152281,1672386
2017213146,4/2/2017 0:00,443,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,14,HOTEL/MOTEL/ETC.                                                               ,2600 BLOCK N ZUNI ST,3136069,1700494
2017213146,4/2/2017 0:00,443,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,14,HOTEL/MOTEL/ETC.                                                               ,2600 BLOCK N ZUNI ST,3136069,1700494
2017263443,4/22/2017 0:00,2100,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,1400 BLOCK N OGDEN ST,3147532,1694400
2017263443,4/22/2017 0:00,2100,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,1400 BLOCK N OGDEN ST,3147532,1694400
2017266194,4/24/2017 0:00,1245,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,N LOGAN ST / E COLFAX AVE,3145580,1694848
2017284171,5/1/2017 0:00,1800,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,2300 BLOCK S WILLIAMS ST,3150100,1670762
2017284389,5/1/2017 0:00,2130,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,1800 BLOCK S GILPIN ST,3149769,1674383
2017285383,5/2/2017 0:00,720,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,18,PARKING LOT/GARAGE                                                             ,700 BLOCK N BROADWAY ST,3144354,1690523
20176003880,5/2/2017 0:00,1640,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,2200 BLOCK S WILLIAMS ST,3150101,1671238
20176003863,5/2/2017 0:00,700,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,20,RESIDENCE/HOME                                                                 ,2400 BLOCK S RACE ST,3150765,1670182
2017287964,5/2/2017 0:00,2000,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1500 BLOCK ARAPAHOE ST,3141527,1697656
2017285966,5/2/2017 0:00,300,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,2300 BLOCK S UNIVERSITY BLVD,3152230,1671040
20176003905,5/3/2017 0:00,925,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1900 BLOCK S WILLIAMS ST,3150094,1673170
2017306792,5/11/2017 0:00,1315,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-HISPANIC,7,CONVENIENCE STORE                                                              ,5100 BLOCK N FEDERAL BLVD,3133545,1713145
2017306792,5/11/2017 0:00,1315,INACTIVE,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-HISPANIC,7,CONVENIENCE STORE                                                              ,5100 BLOCK N FEDERAL BLVD,3133545,1713145
2017308618,5/12/2017 0:00,805,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-TRANSGENDER,44,DAYCARE FACILITY                                                               ,2300 BLOCK CURTIS ST,3144496,1700051
2017312033,5/13/2017 0:00,1634,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-MALE HOMOSEXUAL (GAY),24,SPECIALTY STORE                                                                ,8000 BLOCK E QUINCY AVE,3169843,1657990
2017323432,5/17/2017 0:00,2130,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5309,5309-0,HARASSMENT,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,20,RESIDENCE/HOME                                                                 ,2100 BLOCK STOUT ST,3144562,1698927
2017323293,5/18/2017 0:00,945,STATE CHARGE WARRANT ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-FEMALE HOMOSEXUAL (LESBIAN),20,RESIDENCE/HOME                                                                 ,2400 BLOCK S GALAPAGO ST,3141971,1670319
2017325560,5/19/2017 0:00,1300,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-AMERICAN INDIAN/ALASKAN NATIVE,3,BAR/NIGHT CLUB                                                                 ,1800 BLOCK S FEDERAL BLVD,3133521,1673927
2017402118,6/20/2017 0:00,8,STATE CHARGE WARRANT ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-TRANSGENDER,3,BAR/NIGHT CLUB                                                                 ,7800 BLOCK E COLFAX AVE,3169503,1694866
2017407717,6/22/2017 0:00,610,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,2200 BLOCK LAWRENCE ST,3143852,1700184
2017492820,7/26/2017 0:00,21,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-OTHER ETHNICITY/NATIONAL ORIGIN,1,AIR/BUS/TRAIN TERMINAL                                                         ,400 BLOCK WALNUT ST,3137133,1695925
2018238901,8/1/2017 0:00,1,OPEN,5309,5309-0,HARASSMENT,ANTI-HISPANIC,52,SCHOOL - COLLEGE/UNIVERSITY                                                    ,3000 BLOCK W Regis Blvd,3131452,1713240
2017542666,8/13/2017 0:00,145,INACTIVE,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,E 11TH AVE / N LINCOLN ST,3144523,1692592
20175003620,8/14/2017 0:00,1300,INACTIVE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-BLACK,20,RESIDENCE/HOME                                                                 , BLOCK N ADAMS ST,3155219,1686428
2017561096,8/22/2017 0:00,300,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-JEWISH,3,BAR/NIGHT CLUB                                                                 ,1700 BLOCK E EVANS AVE,3149910,1672515
2017565337,8/24/2017 0:00,1120,INACTIVE,5309,5309-0,HARASSMENT,ANTI-HISPANIC,53,SCHOOL - ELEMENTARY/SECONDARY                                                  ,1600 BLOCK N ESPLANADE PKWY,3152941,1695469
2017591174,9/3/2017 0:00,1500,REFUSED BY DA - NO LIKELIHOOD OF CONVICTION,5309,5309-0,HARASSMENT,ANTI-BLACK,50,PARK/PLAYGROUND                                                                ,00 BLOCK E COLFAX AVE,,
2017598325,9/6/2017 0:00,1901,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,5312,5312-0,DISTURBING THE PEACE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),20,RESIDENCE/HOME                                                                 ,9200 BLOCK E GIRARD AVE,3174680,1663589
2017629587,9/19/2017 0:00,630,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,400 BLOCK E 8TH AVE,3145734,1690650
2017644153,9/22/2017 0:00,1812,INACTIVE,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-BLACK,25,OTHER/UNKNOWN                                                                  ,1200 BLOCK 17TH ST,3141705,1698196
2017677962,10/9/2017 0:00,1230,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HOMOSEXUAL (GAY AND LESBIAN),20,RESIDENCE/HOME                                                                 , BLOCK E 16TH AVE,3144388,1695524
2017734887,11/2/2017 0:00,305,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-BLACK,1,AIR/BUS/TRAIN TERMINAL                                                         ,1000 BLOCK 19TH ST,3143054,1698655
2017739598,11/3/2017 0:00,2056,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-HOMOSEXUAL (GAY AND LESBIAN),18,PARKING LOT/GARAGE                                                             ,1100 BLOCK E COLFAX AVE,3148190,1694985
2017775256,11/10/2017 0:00,650,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,15,JAIL/PRISON/PENETENTIARY/CORRECTIONS FACILITY                                  ,400 BLOCK W COLFAX AVE,3142418,1694739
2017760721,11/12/2017 0:00,1952,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),18,PARKING LOT/GARAGE                                                             ,800 BLOCK S FEDERAL BLVD,3133746,1680427
2017767078,11/15/2017 0:00,1145,ARREST/CITATION - NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,6300 BLOCK E HAMPDEN AVE,3164520,1663466
2017767904,11/15/2017 0:00,1749,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,25,OTHER/UNKNOWN                                                                  ,E 18TH AVE / N LOGAN ST,3145572,1696612
2017773395,11/17/2017 0:00,1600,MUNICIPAL WARRANT ISSUED,5312,5312-0,DISTURBING THE PEACE,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,3700 BLOCK S HILLCREST DR,3164367,1661358
2017779256,11/20/2017 0:00,1015,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-TRANSGENDER,57,COMMUNITY CENTER                                                               ,1500 BLOCK N HIGH ST,3150473,1695101
2017792631,11/26/2017 0:00,1928,MUNICIPAL WARRANT ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),20,RESIDENCE/HOME                                                                 ,200 BLOCK S CLAY ST,3135043,1684558
2017792631,11/26/2017 0:00,1928,MUNICIPAL WARRANT ISSUED,5312,5312-0,DISTURBING THE PEACE,ANTI-MALE HOMOSEXUAL (GAY),20,RESIDENCE/HOME                                                                 ,200 BLOCK S CLAY ST,3135043,1684558
2017793595,11/26/2017 0:00,2300,INACTIVE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-JEWISH,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1200 BLOCK S BROADWAY ST,3144308,1677782
2017794360,11/27/2017 0:00,1255,INACTIVE,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,53,SCHOOL - ELEMENTARY/SECONDARY                                                  ,1600 BLOCK N ESPLANADE PKWY,3152941,1695469
2017803454,12/1/2017 0:00,1015,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,900 BLOCK N ACOMA ST,3143787,1691644
2017818808,12/7/2017 0:00,2035,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-BLACK,1,AIR/BUS/TRAIN TERMINAL                                                         ,17TH ST / WEWATTA ST,3140139,1699945
20183071,12/12/2017 0:00,1200,INACTIVE,5309,5309-3,HARASSMENT - SEXUAL IN NATURE,ANTI-TRANSGENDER,25,OTHER/UNKNOWN                                                                  ,4300 BLOCK N KALAMATH ST,3140270,1707898
2017861644,12/27/2017 0:00,1800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-HOMOSEXUAL (GAY AND LESBIAN),20,RESIDENCE/HOME                                                                 ,15000 BLOCK E MAXWELL PL,3193238,1715202
20183757,1/2/2018 0:00,1614,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-HISPANIC,18,PARKING LOT/GARAGE                                                             ,W LOUISIANA AVE / S FEDERAL BLVD,3133651,1677693
201832793,1/14/2018 0:00,1430,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-BLACK,5,COMMERCIAL/OFFICE BUILDING                                                     ,4200 BLOCK N COLUMBINE ST,3152677,1708050
201832793,1/14/2018 0:00,1430,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5016,5016-0,VIOLATION OF RESTRAINING ORDER,ANTI-BLACK,5,COMMERCIAL/OFFICE BUILDING                                                     ,4200 BLOCK N COLUMBINE ST,3152677,1708050
201856445,1/24/2018 0:00,1013,LETTER TO DETECTIVE - INFORMATION ONLY,5309,5309-0,HARASSMENT,ANTI-JEWISH,4,CHURCH/SYNAGOGUE/TEMPLE/MOSQUE                                                 ,1300 BLOCK N GRANT ST,3145118,1694152
201864148,1/26/2018 0:00,2100,INACTIVE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-HISPANIC,20,RESIDENCE/HOME                                                                 ,100 BLOCK N RALEIGH ST,3128912,1687206
201879009,1/30/2018 0:00,1053,REFERRED TO OTHER AGENCY,1316,1316-0,THREATS TO INJURE,ANTI-HISPANIC,20,RESIDENCE/HOME                                                                 ,1200 BLOCK S OSCEOLA ST,3130131,1678194
2018154467,3/2/2018 0:00,2000,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,3000 BLOCK W HILLSIDE PL,3133543,1670277
2018148236,3/3/2018 0:00,1030,INACTIVE,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-MULTI-RACIAL GROUP,18,PARKING LOT/GARAGE                                                             ,5000 BLOCK LEETSDALE DR,3160583,1683183
2018150646,3/4/2018 0:00,120,INACTIVE,1313,1313-0,ASSAULT - SIMPLE,ANTI-HOMOSEXUAL (GAY AND LESBIAN),7,CONVENIENCE STORE                                                              ,18TH ST / WELTON ST,3143718,1697153
2018166152,3/9/2018 0:00,1433,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-MALE HOMOSEXUAL (GAY),20,RESIDENCE/HOME                                                                 ,4800 BLOCK N HALIFAX ST,3208580,1711660
20186002486,3/18/2018 0:00,830,INACTIVE,2999,2999-1,CRIMINAL MISCHIEF - MTR VEH,ANTI-HOMOSEXUAL (GAY AND LESBIAN,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             , BLOCK S BANNOCK ST,3143549,1685891
2018194699,3/23/2018 0:00,1221,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,18,PARKING LOT/GARAGE                                                             ,18600 BLOCK E GVR BLVD,3205114,1711659
2018200607,3/25/2018 0:00,2200,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,53,SCHOOL - ELEMENTARY/SECONDARY                                                  ,900 BLOCK N GALAPAGO ST,3141543,1691673
2018227921,4/6/2018 0:00,204,INACTIVE,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-BLACK,18,PARKING LOT/GARAGE                                                             ,2600 BLOCK W ALAMEDA AVE,3135347,1684163
2018310128,5/8/2018 0:00,1949,OPEN,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,18900 BLOCK E CHAFFEE PL,3206313,1709512
2018326066,5/12/2018 0:00,1300,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,2999,2999-2,CRIMINAL MISCHIEF - GRAFFITI,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,2700 BLOCK S GROVE ST,3133079,1667514
2018326066,5/12/2018 0:00,1300,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1316,1316-0,THREATS TO INJURE,ANTI-BLACK,20,RESIDENCE/HOME                                                                 ,2700 BLOCK S GROVE ST,3133079,1667514
2018334835,5/18/2018 0:00,1700,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1313,1313-0,ASSAULT - SIMPLE,ANTI-MALE HOMOSEXUAL (GAY),20,RESIDENCE/HOME                                                                 ,2800 BLOCK W 37TH AVE,3134162,1704898
2018350760,5/21/2018 0:00,1800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5309,5309-0,HARASSMENT,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,3100 BLOCK W FLORIDA AVE,3132944,1676422
2018350760,5/21/2018 0:00,1800,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,5016,5016-0,VIOLATION OF RESTRAINING ORDER,ANTI-HISPANIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,3100 BLOCK W FLORIDA AVE,3132944,1676422
2018355224,5/27/2018 0:00,219,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1313,1313-0,ASSAULT - SIMPLE,ANTI-BLACK,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1700 BLOCK WYNKOOP ST,3140760,1699507
2018370583,5/28/2018 0:00,1315,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-PHYSICAL DISABILITY,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,1400 BLOCK BLOCK N COLORADO BLVD,3157323,1694619
2018362977,5/29/2018 0:00,1900,INACTIVE,2999,2999-0,CRIMINAL MISCHIEF - OTHER,ANTI-BLACK,21,RESTAURANT                                                                     ,1700 BLOCK E 25TH AVE,3149872,1699598
2018365417,5/31/2018 0:00,900,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1315,1315-2,MENACING - FELONY W/WEAP,ANTI-MALE HOMOSEXUAL (GAY),18,PARKING LOT/GARAGE                                                             ,1200 BLOCK N COLORADO BLVD,3157366,1693555
2018373210,6/1/2018 0:00,2220,OPEN,1316,1316-0,THREATS TO INJURE,ANTI-MALE HOMOSEXUAL (GAY),25,OTHER/UNKNOWN                                                                  ,4300 BLOCK N KALAMATH ST,3140270,1707898
20185002899,6/11/2018 0:00,730,VIC REFUSES TO COOP-NOT PRESENTED/REFUSED BY DA,1316,1316-0,THREATS TO INJURE,ANTI-ISLAMIC,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,LEETSDALE DR / S QUEBEC ST,3167834,1679871
2018406703,6/17/2018 0:00,1545,ACCEPTED BY DA - ARREST MADE OR CITATION ISSUED,1315,1315-0,AGGRAVATED ASSAULT,ANTI-WHITE,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,S ACOMA ST / W MEXICO AVE,3143882,1675077
2018412532,6/20/2018 0:00,315,INACTIVE,2399,2399-0,THEFT - OTHER,ANTI-HOMOSEXUAL (GAY AND LESBIAN,13,HIGHWAY/ROAD/ALLEY/STREET/SIDEWALK                                             ,800 BLOCK 16TH ST,3142307,1697059
2018437401,6/29/2018 0:00,1851,OPEN,1313,1313-0,ASSAULT - SIMPLE,ANTI-BLACK,7,CONVENIENCE STORE                                                              ,1500 BLOCK N COLORADO BLVD,3157446,1695333
